 ,MONDAY,,,,,,,TUESDAY,,,,,,,WEDNESDAY,,,,,,,THURSDAY,,,,,,,Friday,,,,,,,Saturday,,,,,,
,P1,P2,P3,P4,P5,P6,P7,P1,P2,P3,P4,P5,P6,P7,P1,P2,P3,P4,P5,P6,P7,P1,P2,P3,P4,P5,P6,P7,P1,P2,P3,P4,P5,P6,P7,P1,P2,P3,P4,P5,P6,P7
ECE1,,DVD,DIP,ES,ADC,Telugu/MA,TELUGU /MA,ML,DVD,ES,DIP,Artificial,ADC,MINIPROJECT,ES,DVD,ML,CDC,English-3,,,PDI,ADC,HRD,DIP,AI,MINIproject,MINIproject,AI,ADC,ML,HRD,Robotics,,,Telugu/MA,AI,HRD,CDC,MINIproject,,
ECE2,AI,HRD,,DVD,,,,ML,CDC,HRD,,AI,DVD,,Articial,ES,ML,MINProject,PDI,DVD,AI,HRD,,ES,,MINIproject ,Artificial,,CDC,,ML,ES,English 3,,,,MINIproject,MINIproject,,CDC,,
ECE3,Artificial ,ML,CDC,DIP,,,,PDI,DIP,ML,ES,English-3,,,CDC,HRD,AI,DVD,AI,ML,Ariticial,,,DIP,DVD,Aritificail,ES,,MINIPROJECT,,HRD,DVD,Miniproject,ES,MINiproject,,,DVD,HRD,AI,Miniproject,
ECE4,MINI Project,ES,,,,,,ML,,,Artifical,HRD,ES,AI,MINIproject ,,ML,ES,Artifical,HRD,DVD,AI,,,PDI,English-3,,,,,ML,AI,,HRD,DVD,,DVD,Miniproject ,,CDC,DVD,CDC
ECE5,MINIproject ,ML,HRD,,,,,AI,,ML,DVD,MINIPROJECT,HRD,Artificial,AI,PDI,,HRD,Miniproject ,ML,,CDC,,,ES,CDC,AI,Miniproject,Artificial,,Miniproject,Artificial,,Miniproject,Iniproject ,,ES,ES,,English-3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S.NO,COURSE CODE,Subject Name,,,,,,,,,,,,,Faculty Name,,,,,,,,,Class Code ,Class room,,,,,,,,,,,,,,,,
,1,EC3217,Digital Image Processing,,,,,,,,,,,,,Mr.K.Sivalal(All Batches),,,,,,,,,ECE1,SS1,,P1 9am - 10am,,,,,,,,,,,,,,
,2,EC3224,Digital VLSI System Design,,,,,,,,,,,,,Mr.K.venkateswara Rao(All Batches),,,,,,,,,ECE2,SS2,,P2 10am - 11am,,,,,,,,,,,,,,
,3,EC3226,Embedded Systems,,,,,,,,,,,,,Mr.Charles(All Batches),,,,,,,,,ECE3,SS3,,P3  11:00am -12.00Pm,,,,,,,,,,,,,,
,4,EC3201,Advanced Digital Communications(,,,,,,,,,,,,,Mr.Sk.Krimulla(All Batches)/Dr.Sk.Riyaz Hussian(All Batches),,,,,,,,,ECE4,SS4,,P4 12.00Pm to 1.00Pm,,,,,,,,,,,,,,
,5,EC3253,Machine Learning,,,,,,,,,,,,,Mr.Sk.Karimulla(All Batches),,,,,,,,,,,,P5:2.00PM-3.00PM,,,,,,,,,,,,,,
,6,EC3250,Artificial Intelligence,,,,,,,,,,,,,NTPEL ,,,,,,,,,ECE5,ST2,,P6:3.00PM-4.00PM,,,,,,,,,,,,,,
,7,MA3201,Matrix Algebra,,,,,,,,,,,,,Mr.M.V.Naidu(All Batches),,,,,,,,,,,,P7:4.00-5.00PM,,,,,,,,,,,,,,
,8,TE1OE301,Classical Literary forms,,,,,,,,,,,,,Dr. J.Seethapathi Rao(All Batches),,,,,,,,,,,,,,,,,,,,,,,,,,
,9,TE1OE502,FOLKLORE,,,,,,,,,,,,,Dr. P.V.LakshmanaRao(All Batches),,,,,,,,,,,,,,,,,,,,,,,,,,
,10,HS3202,Human Resource Development & Organization behavior,,,,,,,,,,,,,Mr.D.Venugopal(AllBatches),,,,,,,,,,,,,,,,,,,,,,,,,,
,11,EG3283,English-3 ,,,,,,,,,,,,,"Mr.Saleem Babu(ECE1,2,3,4)& Mrs.Katyayani(ST2)",,,,,,,,,,,,,,,,,,,,,,,,,,
,12,MG3201,Product Design & Innovation ,,,,,,,,,,,,,Mrs.Deepthi sahoo(All Batches),,,,,,,,,,,,,,,,,,,,,,,,,,
,13,MC3201,Career Development Course,,,,,,,,,,,,,"Dr.Deepthi Sahoo(ECE1,2,3)& Dr.P.V.Sree Vyshnavi(ECE4,ECE5)",,,,,,,,,,,,,,,,,,,,,,,,,,
,14,EC3215,Artificial Neural Networks,,,,,,,,,,,,,NTPEL ,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,EC3254,Robotic Operting System ,,,,,,,,,,,,,NTPEL ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"DIP- ECE1,ECE2 Assemble in ECE1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"DIP-ECE3,ECE4,ECE5 Assemble in ECE3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"IML -ECE1,ECE2,ECE4 Assemble in ECE2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"IML-ECE3,ECE5 Assemble in ECE3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"ADC-ECE1,ECE2,ECE3,ECE4,ECE5 Assemble in ECE1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Artificial Nural Networks -NTPL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Robotics Stystems-NTPL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Artifical Intelligence-NTPL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
